sentence,polarity,subjectivity
Maybe less if you take the takeaway! …,-0.20833333333333331,0.06666666666666667
"A lot of food, often enough for two meals for someone who doesn't eat that much",0.1,0.35
"Got a little expensive for my wallet after a few price increases so it won't be my first choice if I want fast food, unfortunately .",-0.15625,0.5388888888888889
Very fresh and really good! Humane prices.,0.6325000000000001,0.625
"Have always thought that the food has been such,",0.0,0.5
"not so fond of meat.
But now they had new dishes, Sichuan no chicken was the go-to place",0.21818181818181817,0.7022727272727273
Have always,0.0,0.0
"t that the food has been such, but not so fond of meat.
But now they had new dishes, Sichuan no chicken was the go-to place",0.14545454545454545,0.6348484848484849
The world's best ChopChop!,1.0,0.3
Chop chop should be in town as well,0.0,0.0
otherwise the food is really good,0.7,0.6000000000000001
Chop chop should be in town as well but,0.0,0.0
the food is really good,0.7,0.6000000000000001
HIGHLY RECOMMEND …,0.16,0.5399999999999999
It is a perfectly okay place and has a nice and knowledgeable staff,0.55,0.75
Their deep-fried snack box is miles better than Kentucky Fride chicken ..,-0.04999999999999999,0.725
Poor service and lots of flies around the food,-0.4,0.6
Waited for over 10 minutes to order,0.0,0.0
the girl behind the counter talked privately with another customer,-0.2,0.5375
Tired of closure and left,-0.2,0.35
A bit expensive for being fast food (105 SEK) and a little poorly cleaned (more dirty than clean tables),-0.08869047619047618,0.6285714285714287
really good food! We tested two of their 3 wall dishes,0.875,0.6000000000000001
"Love the chopchop, good food, fast service and friendly staff",0.44375,0.5750000000000001
"First ChopChop I've been to that serves on real plates, big plus.
Unfortunately a very tight and cramped room",0.054464285714285715,0.2761904761904762
Not the best and not the worst Asian food,0.0,0.43333333333333335
"However, I was disappointed that it is worse than my local Thai kiosk",-0.3833333333333333,0.45
But it gives an Asian option for fast food which is good according to me,0.3,0.4000000000000001
Good and friendly staff would really recommend this place,0.425,0.43333333333333335
The most important thing is the good food they make,0.5333333333333333,0.7000000000000001
The food is delicious!,1.0,1.0
Undoubtedly the best fast food restaurant,0.6,0.44999999999999996
"Instead of ordinary burgers or sausages with mash, Asian cuisine is served in fast food format",-0.016666666666666663,0.3666666666666667
"Highly recommended, especially for families with children",0.08,0.77
Two of the Tofu …,0.0,0.0
"Good food,",0.7,0.6000000000000001
"when they are many customers, I experience it as if the system they use does not work optimally ..",0.5,0.5
Nice o happy staff,0.7,1.0
Good food,0.7,0.6000000000000001
unfortunately too many times where the tables are forgotten to be dried so they are sticky to the next guest,-0.05,0.525
"To be fast food, this was sickly good! Went quickly to get the food and it tasted okay! Choose this place over all the other fast food places! Very nice staff! …",0.44761904761904764,0.5964285714285715
Oh oh oh very good,0.9099999999999999,0.7800000000000001
"All of these are identical and taste as expected
You already know beforehand how it should taste, which is good",0.3,0.5
Ordered take away two menus,0.0,0.0
only got cutlery for one so it became difficult to eat,-0.25,1.0
"extremely nice staff, the food is not good",0.125,0.8
it is not on chochop,0.0,0.0
"Lots of food, which was really good .",0.7,0.6000000000000001
Likes to turn in when the roads pass by .,0.0,0.0
Lots to choose from,0.0,0.0
Nice guy at checkout,0.6,1.0
Unfortunately badly cleaned in the premises and especially the toilet,-0.24444444444444438,0.5555555555555555
The food is good,0.7,0.6000000000000001
ordering and paying in the restaurant sucked,0.0,0.0
Will be drive thru next time …,0.0,0.0
"Great food, friendly staff",0.5875,0.625
It's strange that it can take so long to serve fast-cooked foods,-0.05,0.275
But it was really good,0.7,0.6000000000000001
Always just as good,0.7,0.6000000000000001
"Nice indoors, a little less seating in these covid times",0.08194444444444444,0.5222222222222223
Lots of dishes and leftovers on the tables even,0.0,0.0
we were the only customers,0.0,1.0
Lots of dishes and leftovers on the tables,0.0,0.0
we were the only customers,0.0,1.0
"Ordered Cashew Chicken, Wondering where the nuts went",-0.6,0.95
"There were 2.5 nuts.
Gumman took Snacksbox Large",0.21428571428571427,0.42857142857142855
No place for me! Flies in food and hairs,0.0,0.0
Like going into a sauna to eat in there,0.0,0.0
Very expensive and poor service by the staff …,-0.525,0.7549999999999999
"They taste good and go fast to get the food, E-tuna is better than theirs in S-nose",0.4666666666666666,0.5666666666666668
Very good! …,1.0,0.7800000000000001
"Good options on the menus, good food and good service",0.6999999999999998,0.6000000000000001
"However, keep in mind that you get more food when you buy a small menu at take away than one in between, need not be bad;) …",-0.04999999999999996,0.6416666666666666
Lots of people,0.0,0.0
with respect for distance,0.0,0.0
Good food fast …,0.44999999999999996,0.6000000000000001
We tried springrools and a snack box for lunch very good and reasonably priced …,0.5549999999999999,0.6900000000000001
"Top food that is flavor filling and warm, feels that the food is usually cold at fast food restaurants,",0.17500000000000004,0.675
at chop chop it is warm and tasty ❤ …,0.6,0.6
Have eaten there several times,0.0,0.0
this time the food was fried,0.0,0.0
It will probably be long before I eat there again,-0.05,0.4
"Good food, large portions, quick to get the food and nice staff! Significantly better than the hamburger chains opposite",0.4162698412698413,0.5047619047619047
Uncomfortable furniture is the only thing that pulls down the grade,-0.21851851851851853,0.762962962962963
Both as picked up or jaw on site,0.0,0.0
The top that take away,0.5,0.5
Also available drive through,0.4,0.4
"We usually share a combo with two accessories, more than enough for two adults! …",0.08333333333333333,0.4166666666666667
Super friendly staff and wonderful food.,0.5694444444444444,0.7222222222222222
"Good fresh food, feels like they have snapped up!",0.5375,0.55
chop chop is very good! Super good food to be measured on and for me who are nut allergists they are very careful about how the food is handled👍🏻 …,0.47583333333333333,0.7616666666666667
Okay food at good price,0.6,0.55
But there was no fast food so to speak when we were there,-0.1,0.6
"Ordered oumph, got meat",0.0,0.0
Unreliable when staff are not aware of the difference,-0.125,0.25
Good food super service👍🏻,0.5166666666666666,0.6333333333333333
"They had a super good look at the vegan offerings and they were very nice!
They were good food too …",0.6770833333333333,0.7166666666666667
Great food to be fast food,0.5,0.675
Easy to drive through,0.43333333333333335,0.8333333333333334
They could hold back on the sugar in the food,0.0,0.0
,0.0,0.0
It's very sweet,0.45499999999999996,0.8450000000000001
"Good, fast and cheap",0.4333333333333333,0.6333333333333334
But can you expect a parking space outside? So that at least you can stop with big cars,-0.09999999999999999,0.18333333333333335
"Good asian food, usually go pretty fast to get the food except friday & saturday night because then the whole Eskilstuna seems to be there and fetch food",0.26999999999999996,0.52
There is also a drive thru,0.0,0.0
"There are enough worries in the staff, so long it took to get the food in the drive in !!! I didn't have time for that! …",-0.06103515625,0.45
Good food fast service,0.44999999999999996,0.6000000000000001
"Just check that it is the right food you get, it happens that it goes wrong 1 in 20 times …",-0.10714285714285715,0.7178571428571429
Good! But took a very long time in drive thru ..,0.405,0.56
Though there were only 2 cars in front …,0.0,1.0
"Awesome good food,",0.85,0.8
having to pay extra for sweet and sour sauce and soda is alarming for their development ...,0.024999999999999988,0.3625
Usually like,-0.25,0.25
this time very long wait.,-0.065,0.52
Favorite food,0.5,1.0
would have gotten a full pot if they had run out,0.35,0.55
Hard to get there without a driver's license …,-0.2916666666666667,0.5416666666666666
You make very good food,0.9099999999999999,0.7800000000000001
Lovely staff and the vegan food is super good! Shanghai oumph really gets 10/10 by me! 😊 …,0.4895833333333333,0.5541666666666667
The food is tough and elastic,-0.3888888888888889,0.8333333333333334
They leave the food on heated plates until it rains and becomes inedible,0.0,0.0
And also expensive …,-0.5,0.7
Can you get better food?,0.5,0.5
Good and affordable,0.7,0.6000000000000001
It was nice staff,0.6,1.0
Well maintained and nice in and outside the trip,0.3,0.525
The menus are easy to understand,0.43333333333333335,0.8333333333333334
"Great selection, great service",0.8,0.75
Have not been there.,0.0,0.0
"Very good food🥰
And very nice staff 😍😍 …",0.845,0.8900000000000001
Thai fast food,0.2,0.6
Good options on the menus for both adults and children,0.7,0.6000000000000001
Has become a little too expensive compared to the other fast food options,-0.153125,0.54375
Easy drive thru and very good accessories (and food!),0.7166666666666667,0.8066666666666668
Crispy Shrimp is a great favorite <3 …,0.7666666666666666,0.9166666666666666
"Forgot to write that it tasted very good, both for adults and children 👍 …",0.9099999999999999,0.7800000000000001
Fresh fast food service,0.25,0.55
Good varied Asian menu,0.35,0.30000000000000004
Large parking area,0.21428571428571427,0.42857142857142855
Nice efficient staff,0.6,1.0
GOOD FOOD IN LARGE PORTIONS,0.45714285714285713,0.5142857142857143
"Could be as good as any,",0.7,0.6000000000000001
the staff's uneven knowledge and service level pulls the grade down,-0.1777777777777778,0.24444444444444446
And high prices,0.16,0.5399999999999999
A place where you can eat fast Asian food,0.1,0.3
"Tasteless food, tired staff and expensive.
It was better before",-0.25,0.7
Al,0.0,0.0
"the food tastes very sweet, think about how much sugar is in each dish ?! …",0.3525,0.5225000000000001
"Good to drive in when in a hurry, very good menu",0.8049999999999999,0.6900000000000002
Get the food fast,0.2,0.6
Clean and quiet,0.18333333333333335,0.5166666666666667
Good food,0.7,0.6000000000000001
quite small potion,-0.25,0.4
Good and good,0.7,0.6000000000000001
A little food so sometimes it may be worth taking a children's portion .,0.056249999999999994,0.3
"Ok,",0.5,0.5
not great food.,-0.4,0.75
"Better than donken,",0.5,0.5
", do not count on spicy Asian food, thought it was mostly very sweet …",0.22749999999999998,0.42250000000000004
"Better than donken, however, do not count on spicy Asian food,",0.25,0.25
t it was mostly very sweet …,0.45499999999999996,0.8450000000000001
Great food and fast service,0.5,0.675
Cozy after rebuilding with smaller booths to sit in,-0.09999999999999999,0.625
Good Asian food,0.35,0.30000000000000004
Orange chicken and salmon are real elevators,-0.19999999999999998,0.625
"However, the fried noodles are no longer the worst excitement",-1.0,1.0
Good food,0.7,0.6000000000000001
hard to get what you order is often wrong.,-0.39583333333333337,0.7208333333333333
The portions have shrunk and the place is quite sunkissed now,0.0,0.0
"As fast food, it is the best choice in my opinion",0.6,0.44999999999999996
Super good and cozy😍,0.5166666666666666,0.6333333333333333
"Suitable and for children, children's menu for NOK 49, same dishes as adult dishes",0.21666666666666667,0.39166666666666666
Good size of positions,0.7,0.6000000000000001
Linn is the best,1.0,0.3
"Great food and best of all, always super friendly staff !!! …",0.7164388020833333,0.5541666666666667
yes it went well o eat with it tastes a bit like it is up hot …,0.25,0.8500000000000001
But Yakinikin has become,0.0,0.0
Not like when they opened,0.0,0.0
"Good, cheap and fast 😁",0.43333333333333335,0.6333333333333333
Great food and fresh restaurant,0.55,0.625
Stammi's place for me,0.0,0.0
"Good food, good and fast service and very nice staff.",0.595,0.7000000000000001
Good restaurant for those who do not want to eat at any hamburgers restaurant,0.7,0.6000000000000001
Super good! …,0.6041666666666666,0.6333333333333333
"A little expensive,",-0.34375,0.6
on the other hand very much food,0.0675,0.3175
"A little expensive, but",-0.34375,0.6
very much food,0.26,0.26
I've been there and eaten before and then it was much better,0.5,0.5
bad bad …,-0.6999999999999998,0.6666666666666666
"Very good food, a little poor place if you compare with ChopChop in Västerås",0.10749999999999997,0.6266666666666668
It wasn't unpleasant in your mouth ..,-0.6499999999999999,0.95
But it's been better …,0.5,0.5
Very good,0.9099999999999999,0.7800000000000001
a little too expensive,-0.34375,0.6
"Incredibly good response from the staff, especially Milla Jehkonen! …",0.35,0.8
"Best chop chops! Tried several, including in Västerås and in Strängnäs",0.5,0.15
Not at all the same quality of food on the others,0.0,0.125
"Nice staff, good food",0.6499999999999999,0.8
do not like the stressed serving model,0.0,0.0
Gives a stressed and sloppy impression,-0.4166666666666667,0.75
The best food😮‍💨,1.0,0.3
"Awesome place, with emphasis on G, big G, who may as well stand for Giant portion's;) …",0.3125,0.775
"Very good food,",0.9099999999999999,0.7800000000000001
relatively high prices.,0.16,0.5399999999999999
"Good alternatives to the hamburger chains, offer lots of fresh dishes at great prices and fast it goes! …",0.5125,0.6125
Quite tasteless at the last visit,-0.3,0.48333333333333334
Was measured,0.0,0.0
nothing more …,0.5,0.5
Unattended staff and half-timbered service forgot both drinking and cake for the food,0.0,0.0
"Cold food and the noodles were rubbery, the rice hard ..",-0.4458333333333333,0.7708333333333333
Very bad food 😢 …,-0.9099999999999998,0.8666666666666667
ChopChop had great food at the beginning in Eskilstuna,0.8,0.75
now it's not the same quality at all,0.0,0.125
"Not too much food, good food, and good luck cake …",0.5333333333333333,0.46666666666666673
Good food gets fast and filling,0.44999999999999996,0.6000000000000001
"However, no special heat in the food …",-0.17857142857142858,0.5714285714285714
Nice food,0.6,1.0
a little long queue sometimes.,-0.11875,0.45
Good and good food to be a fast food restaurant,0.5333333333333333,0.6000000000000001
Great variety on the same food,0.4,0.4375
"Sometimes it is well cooked, and sometimes not",0.0,0.0
"Good food, sad that they have raised the price.",0.09999999999999998,0.8
Superb food and friendly staff.,0.6875,0.75
Better than burgers,0.5,0.5
could have been a little more sauce,0.15625,0.5
"Popular at lunch, so in winter time hard to fit inside",0.23611111111111108,0.6138888888888889
More space in the summer,0.5,0.5
"Rice and chicken, most boring I've eaten! No never again! …",-0.3666666666666667,0.8166666666666668
Really good and fresh food! Could be slightly cheaper.,0.30277777777777776,0.4222222222222223
Delicious and fast food!,0.625,0.8
"Always good, fast and tasty",0.44999999999999996,0.6000000000000001
"Very good food, the rating is reduced due to expensive food",0.09499999999999997,0.6183333333333334
Think they are a little too expensive for what you get.,-0.34375,0.6
"Good good, oh the children they like m",0.7,0.6000000000000001
"Good cheap Asian fast food, a plus is that they have drive-thru",0.325,0.475
Very poor service compared to every other Chop chop I have been to,-0.3225,0.5775
Very nice to avoid paper plates and plastic cutlery!,0.9750000000000001,1.0
Great service and the world's best spicy lime <3,0.9333333333333332,0.6833333333333332
Not the best,1.0,0.3
better fast food than Donken or BK,0.35,0.55
Best place 👍👌,1.0,0.3
Interesting and good food that is sold effectively.,0.6,0.6333333333333334
"Totally ok for being fast food, orange chicken was very good",0.25249999999999995,0.7075
Good environmental thinking,0.7,0.6000000000000001
Good and generous with food!,0.875,0.6000000000000001
"Cool place, tasty food, you get what you come for",0.35,0.65
Very good as always and nice staff,0.7549999999999999,0.8900000000000001
Totally okay jaw,0.5,0.5
"Good, good price and fast",0.5333333333333333,0.6000000000000001
You will not be disappointed,-0.75,0.75
it is not cool ..,-0.175,0.65
Very good service,0.9099999999999999,0.7800000000000001
The guy at the checkout was knowledgeable about the food and very nice,0.78,1.0
Nice accommodating large portions of newly decorated and quieter .,0.3168831168831169,0.6277056277056278
Well cooked food.,0.0,0.0
Good food,0.7,0.6000000000000001
a bit expensive for fast food,-0.15,0.6499999999999999
Get what you want quickly and easily,0.3833333333333333,0.6666666666666667
"Nice and helpful staff, good and large portions 👍😄",0.5047619047619046,0.6761904761904761
Flavored a lot of fat do not recommend,0.0,0.0
Very friendly staff and good food.,0.59375,0.625
Good food quickly and professionally skilled chefs ❤️❤️❤️ …,0.5111111111111111,0.5333333333333333
"Very good, and fresh food and large portions",0.4747619047619047,0.5695238095238097
Very good food and nice service,0.7549999999999999,0.8900000000000001
Love their food ❤✌,0.5,0.6
"Totally okay noodles, nothing to complain about.",0.5,0.5
Rebuilt and fresh,0.3,0.5
Good food and better opening hours,0.6,0.55
Plenty of portions,0.0,0.0
Best fast food restaurant available,0.5333333333333333,0.4333333333333333
All right fast food,0.24285714285714285,0.5678571428571428
Poor food o cooked rice etc.,-0.4,0.6
Very good food is recommended!,1.0,0.7800000000000001
Affordable and good,0.7,0.6000000000000001
Easy to bring home food.,0.43333333333333335,0.8333333333333334
Did not have to go hungry from there,0.0,0.0
"Good friendly staff too, be afraid of them",0.15833333333333333,0.6666666666666666
Really good food! Clean and tidy.,0.6138888888888889,0.7000000000000002
Very good filling!,1.0,0.7800000000000001
Very nice and positive staff,0.5036363636363637,0.7727272727272727
Good food and plenty to choose from,0.7,0.6000000000000001
Most of the food 😊 And that you can choose the portion size,0.5,0.5
Very good 😊,0.9099999999999999,0.7800000000000001
"Cold food, chewy and hard noodles.",-0.4458333333333333,0.7708333333333333
Good food 😊 good service and cleaned and milled,0.7,0.6000000000000001
"Bells service, good food and quiet atmosphere.",0.35,0.4666666666666667
Tested their orange chicken,-0.6,0.95
Nice staff 😀 …,0.6,1.0
"Great food, hard to park with a trailer",0.25416666666666665,0.6458333333333333
Great food and staff.,0.8,0.75
Absolutely affordable food.,0.2,0.9
food food food very tasty and tasty,0.2,0.3
Fast and good service in drive in!,0.5375,0.6000000000000001
I like their vegetarian oumph,0.0,0.0
Good service! Friendly staff and good food.,0.65,0.5666666666666668
"Drive in, smooth and good",0.55,0.55
Very good food!,1.0,0.7800000000000001
Good food and plenty on the plate ☺,0.7,0.6000000000000001
"Love it, tip- order orange chicken",-0.04999999999999999,0.7749999999999999
Good alternative to hamburger fast food places,0.44999999999999996,0.6000000000000001
Fast and good,0.44999999999999996,0.6000000000000001
Fast asian food without doodles.,0.1,0.3
Nyköping and Strängnäs have better,0.5,0.5
Very good girls who work there 😍,0.9099999999999999,0.7800000000000001
Very nice staff o go food,0.78,1.0
An exciting complement to all hamburger hooks,0.3,0.8
GOOD..HERE ONLY LAX ..,0.0,1.0
OTHER LIKES OTHER..TIME AND RARE,0.0875,0.6375
"It's really, really goood",0.2,0.2
Great food and friendly staff,0.5875,0.625
Pretty good jaw.,0.475,0.8
Nice staff and good jaw.,0.6499999999999999,0.8
Best Asian food ever !!!,0.5,0.15
Quickly good and good.,0.7,0.6000000000000001
Great food and friendly staff ❤️,0.5875,0.625
A lot of food,0.0,0.0
But something expensive.,-0.5,0.7
For salty foods,0.0,0.0
No further place.,0.0,0.5
Very good food especially dynamite chicken.,0.10333333333333332,0.9100000000000001
Good food at great price.,0.75,0.675
Good food! quick and easy,0.5472222222222222,0.6444444444444445
Good food,0.7,0.6000000000000001
too expensive,-0.5,0.7
Very tasty food,0.2,0.3
Good food served in large portions,0.45714285714285713,0.5142857142857143
"Very tasty, fast and served fresh",0.2333333333333333,0.4666666666666666
And nice service.,0.6,1.0
Great service and food.,0.8,0.75
"Spicy, cold food",-0.6,1.0
Fast service via drive-in,0.2,0.6
A lot of food.,0.0,0.0
Works like a pit stop!,0.0,0.0
"A little expensive, good food",0.004166666666666652,0.6
Nice restaurant,0.6,1.0
the food was was a two,0.0,0.0
The best food and the nicest staff✨,1.0,0.3
Friendly and helpful staff,0.375,0.5
Good and good food at a reasonable price,0.5333333333333333,0.6000000000000001
Strange way to get the food,-0.05,0.15
Go and great food,0.8,0.75
Fast and good service,0.44999999999999996,0.6000000000000001
Super good food! Friendly staff! Good service!,0.6380208333333333,0.5916666666666667
Good and fast food,0.44999999999999996,0.6000000000000001
Good food and smooth with drive thru!,0.6,0.55
It was the tastiest dish.,0.0,0.0
Worse every time you are there,-0.4,0.6
Very good food,0.9099999999999999,0.7800000000000001
A good restaurant and good service,0.7,0.6000000000000001
The food can be warmer,0.0,0.0
tasty,0.0,0.0
Sad to eat on cardboard plate.,-0.5,1.0
Very good food!,1.0,0.7800000000000001
Fast food at its best,0.6,0.44999999999999996
Very good food.,0.9099999999999999,0.7800000000000001
Not much to cheer for,-0.1,0.2
Good simple fast food,0.3,0.5190476190476191
Good alternative to the hamburger hook,0.7,0.6000000000000001
Fast and good food,0.44999999999999996,0.6000000000000001
Not my kind of place.,0.6,0.9
"Great service, good food, friendly staff",0.625,0.6166666666666667
Just ok for a road restaurant.,0.5,0.5
"Good, fast, affordable, great food!",0.6333333333333333,0.65
Good food and fast service 👌,0.44999999999999996,0.6000000000000001
Charming,0.7,1.0
perfectly ok food,0.5,0.5
Fast service nice staff good food,0.5,0.7333333333333334
Nice and clean,0.48333333333333334,0.8500000000000001
Totally ok Asian food,0.25,0.25
"Good food, fast service and humane prices.",0.44999999999999996,0.6000000000000001
Always good food.,0.7,0.6000000000000001
"Good fast food, nice staff",0.5,0.7333333333333334
"Great food, good, and decent prices.",0.5555555555555556,0.6722222222222222
Good food as always,0.7,0.6000000000000001
Great food and nice staff,0.7,0.875
Incredibly good food.,0.7,0.6000000000000001
If you miss Korean food,0.0,0.0
"traveling, you can get some comfort",0.0,0.0
Tasted great 🤩,0.8,0.75
Asian fast food,0.1,0.3
"Fast food, totally ok!",0.4125,0.55
I like Chopchop,0.0,0.0
Orange chicken is 10/10,-0.6,0.95
"Good, plentiful and cheap.",0.55,0.65
"Really good ""Orange chicken""",0.04999999999999999,0.775
The best food!,1.0,0.3
"Nice staff, great food!",0.8,0.875
Very good and good food,0.8049999999999999,0.6900000000000002
Chop Chop - fast food that tastes better!,0.4125,0.55
Nothing for me,0.0,0.0
Really good jue: D,0.85,0.8
"Good Food, Nice staff",0.6499999999999999,0.8
really good food is recommended,0.7,0.6000000000000001
"Excellent, tasty, fast and fair prices",0.6333333333333333,0.8333333333333334
Was better before,0.5,0.5
Great food and great staff.,0.8,0.75
The nicest jaw in town,0.0,0.0
Cannon food and service,0.0,0.0
Good and fast serving,0.44999999999999996,0.6000000000000001
Great food recommends,0.8,0.75
Like their chicken,-0.6,0.95
Affordable good food,0.7,0.6000000000000001
Good food and good prices,0.7,0.6000000000000001
Always as good.,0.7,0.6000000000000001
Good food and fast delivery,0.44999999999999996,0.6000000000000001
Always as good,0.7,0.6000000000000001
Great food and service,0.8,0.75
Fast service and good food,0.44999999999999996,0.6000000000000001
Pretty tasteless food,-0.175,0.95
Tasty and plentiful portions,0.0,0.0
"Good food, large portions",0.45714285714285713,0.5142857142857143
Shanghai noodles ..,0.0,0.0
Today's day was perfect 😃,1.0,1.0
Pretty good pretty fast,0.35,0.8
Good cheap fast,0.43333333333333335,0.6333333333333333
Conceptual fast food chain.,0.2,0.6
Good and fast service,0.44999999999999996,0.6000000000000001
Good and fast service,0.44999999999999996,0.6000000000000001
Good & good food 😉,0.7,0.6000000000000001
Quickly easy and good,0.5666666666666667,0.7166666666666668
Super soft veggie mat,0.21666666666666667,0.5083333333333333
Good with food 😉😊,0.7,0.6000000000000001
Good fast food,0.44999999999999996,0.6000000000000001
Fast and good.,0.44999999999999996,0.6000000000000001
Simple and good,0.35,0.47857142857142865
Quick and good,0.5166666666666666,0.55
Good fast food,0.44999999999999996,0.6000000000000001
Good fast food.,0.44999999999999996,0.6000000000000001
Good fast food,0.44999999999999996,0.6000000000000001
Ok fast food,0.35,0.55
Good and good,0.7,0.6000000000000001
Fast and good,0.44999999999999996,0.6000000000000001
Good fast food,0.44999999999999996,0.6000000000000001
Good fast food,0.44999999999999996,0.6000000000000001
Good fast food,0.44999999999999996,0.6000000000000001
